date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,date_id,CASHBACK_STORE_1,CASHBACK_STORE_2,CASHBACK_STORE_3
2016-03-28,11609,Monday,3,3,2016,,,,,1886,0,0,0
2016-03-29,11609,Tuesday,4,3,2016,,,,,1887,0,0,0
2016-03-30,11609,Wednesday,5,3,2016,,,,,1888,0,0,0
2016-03-31,11609,Thursday,6,3,2016,,,,,1889,0,0,0
2016-04-01,11609,Friday,7,4,2016,,,,,1890,0,1,1
2016-04-02,11610,Saturday,1,4,2016,,,,,1891,1,1,0
2016-04-03,11610,Sunday,2,4,2016,,,,,1892,1,1,1
2016-04-04,11610,Monday,3,4,2016,,,,,1893,0,1,0
2016-04-05,11610,Tuesday,4,4,2016,,,,,1894,1,1,1
2016-04-06,11610,Wednesday,5,4,2016,,,,,1895,1,1,1
2016-04-07,11610,Thursday,6,4,2016,,,,,1896,0,1,1
2016-04-08,11610,Friday,7,4,2016,,,,,1897,1,1,0
2016-04-09,11611,Saturday,1,4,2016,,,,,1898,1,1,1
2016-04-10,11611,Sunday,2,4,2016,,,,,1899,0,1,0
2016-04-11,11611,Monday,3,4,2016,,,,,1900,1,0,1
2016-04-12,11611,Tuesday,4,4,2016,,,,,1901,1,0,1
2016-04-13,11611,Wednesday,5,4,2016,,,,,1902,0,0,1
2016-04-14,11611,Thursday,6,4,2016,,,,,1903,1,0,0
2016-04-15,11611,Friday,7,4,2016,,,,,1904,1,0,1
2016-04-16,11612,Saturday,1,4,2016,,,,,1905,0,0,0
2016-04-17,11612,Sunday,2,4,2016,,,,,1906,0,0,0
2016-04-18,11612,Monday,3,4,2016,,,,,1907,0,0,0
2016-04-19,11612,Tuesday,4,4,2016,,,,,1908,0,0,0
2016-04-20,11612,Wednesday,5,4,2016,,,,,1909,0,0,0
2016-04-21,11612,Thursday,6,4,2016,,,,,1910,0,0,0
2016-04-22,11612,Friday,7,4,2016,,,,,1911,0,0,0
2016-04-23,11613,Saturday,1,4,2016,,,,,1912,0,0,0
2016-04-24,11613,Sunday,2,4,2016,,,,,1913,0,0,0
2016-04-25,11613,Monday,3,4,2016,,,,,1914,0,0,0
2016-04-26,11613,Tuesday,4,4,2016,,,,,1915,0,0,0
2016-04-27,11613,Wednesday,5,4,2016,,,,,1916,0,0,0
2016-04-28,11613,Thursday,6,4,2016,,,,,1917,0,0,0
2016-04-29,11613,Friday,7,4,2016,,,,,1918,0,0,0
2016-04-30,11614,Saturday,1,4,2016,Pesach End,Religious,,,1919,0,0,0
2016-05-01,11614,Sunday,2,5,2016,OrthodoxEaster,Religious,,,1920,0,1,1
2016-05-02,11614,Monday,3,5,2016,,,,,1921,1,1,0
2016-05-03,11614,Tuesday,4,5,2016,,,,,1922,1,1,1
2016-05-04,11614,Wednesday,5,5,2016,,,,,1923,0,1,0
2016-05-05,11614,Thursday,6,5,2016,Cinco De Mayo,Cultural,,,1924,1,1,1
2016-05-06,11614,Friday,7,5,2016,,,,,1925,1,1,1
2016-05-07,11615,Saturday,1,5,2016,,,,,1926,0,1,1
2016-05-08,11615,Sunday,2,5,2016,Mother's day,Cultural,,,1927,1,1,0
2016-05-09,11615,Monday,3,5,2016,,,,,1928,1,1,1
2016-05-10,11615,Tuesday,4,5,2016,,,,,1929,0,1,0
2016-05-11,11615,Wednesday,5,5,2016,,,,,1930,1,0,1
2016-05-12,11615,Thursday,6,5,2016,,,,,1931,1,0,1
2016-05-13,11615,Friday,7,5,2016,,,,,1932,0,0,1
2016-05-14,11616,Saturday,1,5,2016,,,,,1933,1,0,0
2016-05-15,11616,Sunday,2,5,2016,,,,,1934,1,0,1
2016-05-16,11616,Monday,3,5,2016,,,,,1935,0,0,0
2016-05-17,11616,Tuesday,4,5,2016,,,,,1936,0,0,0
2016-05-18,11616,Wednesday,5,5,2016,,,,,1937,0,0,0
2016-05-19,11616,Thursday,6,5,2016,,,,,1938,0,0,0
2016-05-20,11616,Friday,7,5,2016,,,,,1939,0,0,0
2016-05-21,11617,Saturday,1,5,2016,,,,,1940,0,0,0
2016-05-22,11617,Sunday,2,5,2016,,,,,1941,0,0,0
2016-05-23,11617,Monday,3,5,2016,,,,,1942,0,0,0
2016-05-24,11617,Tuesday,4,5,2016,,,,,1943,0,0,0
2016-05-25,11617,Wednesday,5,5,2016,,,,,1944,0,0,0
2016-05-26,11617,Thursday,6,5,2016,,,,,1945,0,0,0
2016-05-27,11617,Friday,7,5,2016,,,,,1946,0,0,0
2016-05-28,11618,Saturday,1,5,2016,,,,,1947,0,0,0
2016-05-29,11618,Sunday,2,5,2016,,,,,1948,0,0,0
2016-05-30,11618,Monday,3,5,2016,MemorialDay,National,,,1949,0,0,0
2016-05-31,11618,Tuesday,4,5,2016,,,,,1950,0,0,0
2016-06-01,11618,Wednesday,5,6,2016,,,,,1951,0,1,1
2016-06-02,11618,Thursday,6,6,2016,NBAFinalsStart,Sporting,,,1952,1,1,0
2016-06-03,11618,Friday,7,6,2016,,,,,1953,1,1,1
2016-06-04,11619,Saturday,1,6,2016,,,,,1954,0,1,0
2016-06-05,11619,Sunday,2,6,2016,,,,,1955,1,1,1
2016-06-06,11619,Monday,3,6,2016,,,,,1956,1,1,1
2016-06-07,11619,Tuesday,4,6,2016,Ramadan starts,Religious,,,1957,0,1,1
2016-06-08,11619,Wednesday,5,6,2016,,,,,1958,1,1,0
2016-06-09,11619,Thursday,6,6,2016,,,,,1959,1,1,1
2016-06-10,11619,Friday,7,6,2016,,,,,1960,0,1,0
2016-06-11,11620,Saturday,1,6,2016,,,,,1961,1,0,1
2016-06-12,11620,Sunday,2,6,2016,,,,,1962,1,0,1
2016-06-13,11620,Monday,3,6,2016,,,,,1963,0,0,1
2016-06-14,11620,Tuesday,4,6,2016,,,,,1964,1,0,0
2016-06-15,11620,Wednesday,5,6,2016,,,,,1965,1,0,1
2016-06-16,11620,Thursday,6,6,2016,,,,,1966,0,0,0
2016-06-17,11620,Friday,7,6,2016,,,,,1967,0,0,0
2016-06-18,11621,Saturday,1,6,2016,,,,,1968,0,0,0
2016-06-19,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,1969,0,0,0
